id,full_name,owner,repo_name,html_url,created_at,updated_at,pushed_at,size,language,forks_count,stargazers_count,watchers_count,has_issues,archived,disabled,fork,num_contributors,sbom_flag,exclusion_reason,num_commits,num_buggy_commits,lifetime_days,num_languages,num_stars,main_language,num_files,num_methods,num_buggy_files,num_buggy_methods,num_bugs
0,apache#incubator-hugegraph-toolchain,apache,incubator-hugegraph-toolchain,https://github.com/apache/incubator-hugegraph-toolchain,2018-08-16T14:29:13Z,2025-05-27T05:33:36Z,2025-05-19T03:06:15Z,116772,Java,100,100,100,True,False,False,False,50,True,,673,488,2924,9,100,Java,939,5673,3395,5433,0
1,apache#commons-dbcp,apache,commons-dbcp,https://github.com/apache/commons-dbcp,2013-07-10T07:00:11Z,2025-05-26T19:55:26Z,2025-05-26T18:23:08Z,31671,Java,247,350,350,False,False,False,False,47,True,,3423,848,8818,1,350,Java,147,4296,287,3707,590
2,apache#plc4x,apache,plc4x,https://github.com/apache/plc4x,2017-12-20T08:00:09Z,2025-06-02T12:54:31Z,2025-06-02T12:54:28Z,1917105,Java,440,1423,1423,True,False,False,False,87,True,,9275,1705,2789,6,1423,Go,10485,169277,6851,27511,351
3,apache#incubator-resilientdb,apache,incubator-resilientdb,https://github.com/apache/incubator-resilientdb,2019-11-22T18:28:12Z,2025-05-29T06:28:31Z,2025-05-14T05:43:21Z,16550,C++,223,149,149,True,False,False,False,21,True,,593,117,1999,5,149,C++,157,10705,293,934,0
4,apache#jclouds,apache,jclouds,https://github.com/apache/jclouds,2014-01-07T08:00:06Z,2025-05-21T23:36:47Z,2025-04-28T08:12:41Z,401367,Java,142,210,210,False,False,False,False,226,True,,10916,2338,5860,2,210,Java,5879,75863,12363,38473,1643
5,apache#doris-spark-connector,apache,doris-spark-connector,https://github.com/apache/doris-spark-connector,2022-02-10T03:40:38Z,2025-05-29T11:03:45Z,2025-05-29T11:03:41Z,19263,Java,100,91,91,True,False,False,False,52,True,,252,249,2015,3,91,Java,213,1262,521,1262,0
6,apache#apisix-ingress-controller,apache,apisix-ingress-controller,https://github.com/apache/apisix-ingress-controller,2019-11-13T13:41:00Z,2025-06-02T09:13:53Z,2025-05-21T08:59:32Z,57062,Go,354,1065,1065,True,False,False,False,131,True,,974,914,1924,1,1065,Go,367,1317,1130,1288,0
7,apache#commons-daemon,apache,commons-daemon,https://github.com/apache/commons-daemon,2013-07-12T07:00:18Z,2025-05-23T16:25:15Z,2025-05-23T16:25:11Z,14940,C,71,98,98,False,False,False,False,26,True,,1838,495,7931,3,98,C,47,677,244,567,471
8,apache#ignite-3,apache,ignite-3,https://github.com/apache/ignite-3,2020-11-23T16:39:36Z,2025-06-02T13:36:02Z,2025-06-02T13:35:58Z,749634,Java,114,230,230,False,False,False,False,68,True,,5336,5299,1655,8,230,Java,7506,74044,14782,74044,0
9,apache#iceberg,apache,iceberg,https://github.com/apache/iceberg,2018-11-19T16:26:46Z,2025-06-02T12:55:33Z,2025-06-02T12:55:29Z,742101,Java,2581,7514,7514,True,False,False,False,406,True,,7048,6717,2731,6,7514,Java,4802,39774,17821,39559,0
